"Артикул";"Ozon Product ID";"FBO OZON SKU ID";"FBS OZON SKU ID";"CrossBorder Ozon SKU";"Barcode";"Наименование товара";"Контент-рейтинг";"Бренд";"Статус товара";"Видимость FBO";"Причины скрытия FBO (при наличии)";"Видимость FBS";"Причины скрытия FBS (при наличии)";"Дата создания";"Категория комиссии";"Объем товара, л";"Объемный вес, кг";"Доступно к продаже по схеме FBO, шт.";"Вывезти и нанести КИЗ (кроме Твери), шт";"Зарезервировано, шт";"Доступно к продаже по схеме FBS, шт.";"Доступно к продаже по схеме realFBS, шт.";"Зарезервировано на моих складах, шт";"Текущая цена с учетом скидки, ₽";"Цена до скидки (перечеркнутая цена), ₽";"Цена Premium, ₽";"Рыночная цена, ₽";"Актуальная ссылка на рыночную цену";"Размер НДС, %"
"'MD 0.5л-06";"828241262";"1381944090";"1381944090";"0";"OZN1381944090";"Mountain Dew 6шт по 0,5л Напиток Маунтин Дью";"'100";"Mountain Dew";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 18:21:38";"Продукты питания";"'3.04";"'2.5";"0";"0";"0";"0";"0";"0";"1119.00";"1299.00";;;;"0%"
"'MD 0.5л-12";"828241279";"1381944080";"1381944080";"0";"OZN1381944080";"Mountain Dew 12шт по 0,5л Напиток Маунтин Дью";"'100";"Mountain Dew";"Продается";"Показывается";;"Показывается";;"2024-01-11 18:21:40";"Продукты питания";"'11.09";"'6.9";"58";"0";"5";"0";"0";"0";"1739.00";"1999.00";;;;"0%"
"'MD 1л-02";"828241286";"1381944124";"1381944124";"0";"OZN1381944124";"Mountain Dew 2шт по 1л Напиток Маунтин Дью";"'100";"Mountain Dew";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 18:21:41";"Продукты питания";"'3.58";"'2.2";"0";"0";"0";"0";"0";"0";"520.00";"614.00";;;;"0%"
"'MD 1л-06";"828241287";"1381944144";"1381944144";"0";"OZN1381944144";"Mountain Dew 6шт по 1л Напиток Маунтин Дью";"'100";"Mountain Dew";"Продается";"Показывается";;"Показывается";;"2024-01-11 18:21:41";"Продукты питания";"'10.44";"'6.2";"52";"0";"1";"0";"0";"0";"1189.00";"1399.00";;;;"0%"
"'MD 0.5л-01";"828241295";"1381944077";"1381944077";"0";"4810285014007";"Mountain Dew 0,5л Напиток Маунтин Дью";"'100";"Mountain Dew";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 18:21:42";"Продукты питания";"'1.08";"'0.6";"0";"0";"0";"0";"0";"0";"269.00";"399.00";;;;"0%"
"'MD 1л-03";"828241299";"1381944092";"1381944092";"0";"OZN1381944092";"Mountain Dew 3шт по 1л Напиток Маунтин Дью";"'100";"Mountain Dew";"Продается";"Показывается";;"Показывается";;"2024-01-11 18:21:43";"Продукты питания";"'5.62";"'3.3";"42";"0";"3";"0";"0";"0";"799.00";"999.00";;;;"0%"
"'MD 1л-01";"828241308";"1381944114";"1381944114";"0";"4810285014014";"Mountain Dew 1л Напиток Маунтин Дью";"'100";"Mountain Dew";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 18:21:44";"Продукты питания";"'2.02";"'1.1";"0";"0";"0";"0";"0";"0";"365.00";"431.00";;;;"0%"
"'MD 0.5л-03";"828241313";"1381944118";"1381944118";"0";"OZN1381944118";"Mountain Dew 3шт по 0,5л Напиток Маунтин Дью";"'100";"Mountain Dew";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 18:21:46";"Продукты питания";"'3.23";"'1.7";"0";"0";"0";"0";"0";"0";"619.00";"699.00";;;;"0%"
"'MD 1л-09";"828241316";"1381944082";"1381944082";"0";"OZN1381944082";"Mountain Dew 9шт по 1л Напиток Маунтин Дью";"'100";"Mountain Dew";"Продается";"Показывается";;"Показывается";;"2024-01-11 18:21:46";"Продукты питания";"'18.13";"'9.3";"123";"0";"4";"0";"0";"0";"1819.00";"2099.00";;;;"0%"
"'MD 0.5л-02";"828241323";"1381944094";"1381944094";"0";"OZN1381944094";"Mountain Dew 2шт по 0,5л Напиток Маунтин Дью";"'100";"Mountain Dew";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 18:21:47";"Продукты питания";"'2.16";"'1.2";"0";"0";"0";"0";"0";"0";"429.00";"499.00";;;;"0%"
"'БЕЛПРОДУКТ СТИКС EXTREMUM 75G-03";"828265615";"1381965847";"1381965847";"0";"OZN1381965847";"Бульба Чипсы острые 3шт по 75г Соломка";"'80";"Бульба Chips";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:11:50";"Продукты питания";"'3.87";"'0.8";"0";"0";"0";"0";"0";"0";"1499.00";"1999.00";;;;"0%"
"'BULBA-CHIPS-MIX-KART-UTKA+TRUFFEL+PERETS-150g-6";"828265616";"1381965843";"1381965843";"0";"OZN1381965843";"Бульба Чипсы набор всех 3 вкусов по 150г (2 пачки каждого)";"'80";"Бульба Chips";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:11:50";"Продукты питания";"'16.10";"'3.2";"0";"0";"0";"0";"0";"0";"1128.00";"1331.00";;;;"0%"
